INFO:root:[AutoTrain] ep=0, question='Who will be the next president of Poland?', correct=11, chosen=11, rew=1, eps=0.995, confidence=0.0769
INFO:root:[AutoTrain] ep=109, question='In which country can you find the painting 'Lady with an Ermine'?', correct=8, chosen=5, rew=-1, eps=0.576, confidence=0.0769
INFO:root:[AutoTrain] ep=110, question='University in Hradec Kralove?', correct=2, chosen=12, rew=-1, eps=0.573, confidence=0.0769
INFO:root:[AutoTrain] ep=111, question='Berlin is capital of which country?', correct=12, chosen=9, rew=-1, eps=0.570, confidence=0.0162
INFO:root:[AutoTrain] ep=112, question='Lady with Ermine location?', correct=8, chosen=3, rew=-1, eps=0.568, confidence=-0.0659
INFO:root:[AutoTrain] ep=113, question='What happens when you mix blue and yellow paint? ', correct=4, chosen=8, rew=-1, eps=0.565, confidence=-0.1976
INFO:root:[AutoTrain] ep=114, question='What is the next winning lottery number?', correct=11, chosen=1, rew=-1, eps=0.562, confidence=0.0769
INFO:root:[AutoTrain] ep=115, question='Which language do people speak in Czech Republic?', correct=10, chosen=8, rew=-1, eps=0.559, confidence=-0.0317
INFO:root:[AutoTrain] ep=116, question='Which language do Czechs speak?', correct=10, chosen=1, rew=-1, eps=0.556, confidence=0.0769
INFO:root:[AutoTrain] ep=117, question='Who is the author of 'Lady with an Ermine'?', correct=1, chosen=8, rew=-1, eps=0.554, confidence=0.1171
INFO:root:[AutoTrain] ep=118, question='How many days does February have in a leap year?', correct=3, chosen=3, rew=1, eps=0.551, confidence=0.0822
INFO:root:[AutoTrain] ep=119, question='Czech Republic official language?', correct=10, chosen=11, rew=-1, eps=0.548, confidence=0.0769
INFO:root:[AutoTrain] ep=120, question='Who created the painting 'Lady with an Ermine'?', correct=1, chosen=8, rew=-1, eps=0.545, confidence=0.0779
INFO:root:[AutoTrain] ep=121, question='Czech Republic language?', correct=10, chosen=8, rew=-1, eps=0.543, confidence=0.0769
INFO:root:[AutoTrain] ep=122, question='What is the capital of Poland?', correct=0, chosen=0, rew=1, eps=0.540, confidence=0.1208
INFO:root:[AutoTrain] ep=123, question='What is the difference between a city and a country?', correct=4, chosen=8, rew=-1, eps=0.537, confidence=0.0769
INFO:root:[AutoTrain] ep=124, question='How many planets will be discovered in the future?', correct=11, chosen=11, rew=1, eps=0.534, confidence=-0.0907
INFO:root:[AutoTrain] ep=125, question='Name Poland' s capital city', correct=0, chosen=10, rew=-1, eps=0.532, confidence=0.0769
INFO:root:[AutoTrain] ep=126, question='Where is 'Lady with an Ermine' located?', correct=8, chosen=12, rew=-1, eps=0.529, confidence=0.0769
INFO:root:[AutoTrain] ep=127, question='Language spoken in Czech Republic?', correct=10, chosen=1, rew=-1, eps=0.526, confidence=0.0769
INFO:root:[AutoTrain] ep=128, question='What is the name of the painting , which features a lady with an ermine?', correct=9, chosen=0, rew=-1, eps=0.524, confidence=0.2250
INFO:root:[AutoTrain] ep=129, question='Where is the capital city of Poland?', correct=0, chosen=0, rew=1, eps=0.521, confidence=0.3555
INFO:root:[AutoTrain] ep=130, question='Czech Republic language?', correct=10, chosen=6, rew=-1, eps=0.519, confidence=0.0769
INFO:root:[AutoTrain] ep=131, question='Who is the author of 'Lady with an Ermine'?', correct=1, chosen=8, rew=-1, eps=0.516, confidence=-0.0489
INFO:root:[AutoTrain] ep=132, question='What language do people speak in Czech Republic?', correct=10, chosen=9, rew=-1, eps=0.513, confidence=0.0769
INFO:root:[AutoTrain] ep=133, question='On which date do people celebrate New Year’s Day?', correct=7, chosen=11, rew=-1, eps=0.511, confidence=0.0246
INFO:root:[AutoTrain] ep=134, question='Who painted the Lady with an Ermine?', correct=1, chosen=1, rew=1, eps=0.508, confidence=-0.1871
INFO:root:[AutoTrain] ep=135, question='Which city keeps 'Lady with an Ermine'?', correct=8, chosen=0, rew=-1, eps=0.506, confidence=0.0769
INFO:root:[AutoTrain] ep=136, question='Which language is spoken in the Czech Republic?', correct=10, chosen=0, rew=-1, eps=0.503, confidence=0.0040
INFO:root:[AutoTrain] ep=137, question='Which language is spoken in Czech Republic?', correct=10, chosen=0, rew=-1, eps=0.501, confidence=0.0067
INFO:root:[AutoTrain] ep=138, question='Which city keeps 'Lady with an Ermine'?', correct=8, chosen=11, rew=-1, eps=0.498, confidence=0.0769
INFO:root:[AutoTrain] ep=139, question='Where can I find the painting 'Lady with an Ermine'?', correct=8, chosen=8, rew=1, eps=0.496, confidence=0.3678
INFO:root:[AutoTrain] ep=140, question='Date of New Year's Day?', correct=7, chosen=9, rew=-1, eps=0.493, confidence=0.0769
INFO:root:[AutoTrain] ep=141, question='What is the language used in the Czech Republic?', correct=10, chosen=0, rew=-1, eps=0.491, confidence=0.0312
INFO:root:[AutoTrain] ep=142, question='Which language is spoken in the Czech Republic?', correct=10, chosen=0, rew=-1, eps=0.488, confidence=-0.0025
INFO:root:[AutoTrain] ep=143, question='What is the next number in the sequence: 2, 4 , 8, 16...?', correct=4, chosen=0, rew=-1, eps=0.486, confidence=0.2036
INFO:root:[AutoTrain] ep=144, question='Where is 'Lady with an Ermine' located?', correct=8, chosen=0, rew=-1, eps=0.483, confidence=-0.0283
INFO:root:[AutoTrain] ep=145, question='What is UHK?', correct=2, chosen=3, rew=-1, eps=0.481, confidence=0.0769
INFO:root:[AutoTrain] ep=146, question='Painter of the Lady with an Ermine?', correct=1, chosen=1, rew=1, eps=0.479, confidence=0.0769
INFO:root:[AutoTrain] ep=147, question='What is the language used in the Czech Republic?', correct=10, chosen=0, rew=-1, eps=0.476, confidence=0.0769
INFO:root:[AutoTrain] ep=148, question='Warsaw is the capital of what country?', correct=8, chosen=0, rew=-1, eps=0.474, confidence=-0.0823
INFO:root:[AutoTrain] ep=149, question='Which language do people speak in Czech Republic?', correct=10, chosen=0, rew=-1, eps=0.471, confidence=-0.1221
INFO:root:[AutoTrain] ep=150, question='What is capital of Germany?', correct=6, chosen=11, rew=-1, eps=0.469, confidence=0.0769
INFO:root:[AutoTrain] ep=151, question='What is the language used in the Czech Republic?', correct=10, chosen=0, rew=-1, eps=0.467, confidence=-0.0844
INFO:root:[AutoTrain] ep=152, question='What is the language used in the Czech Republic?', correct=10, chosen=12, rew=-1, eps=0.464, confidence=0.0769
INFO:root:[AutoTrain] ep=153, question='What language do people speak in Czechia?', correct=10, chosen=0, rew=-1, eps=0.462, confidence=-0.1348
INFO:root:[AutoTrain] ep=154, question='Explain the concept of gravity in simple terms.', correct=4, chosen=0, rew=-1, eps=0.460, confidence=-0.1464
INFO:root:[AutoTrain] ep=155, question='Where is 'Lady with an Ermine' located?', correct=8, chosen=3, rew=-1, eps=0.458, confidence=0.0769
INFO:root:[AutoTrain] ep=156, question='How many days in leap year February?', correct=3, chosen=3, rew=1, eps=0.455, confidence=0.0769
INFO:root:[AutoTrain] ep=157, question='What day is New Year?', correct=7, chosen=0, rew=-1, eps=0.453, confidence=-0.2956
INFO:root:[AutoTrain] ep=158, question='Date of New Year's Day?', correct=7, chosen=11, rew=-1, eps=0.451, confidence=-0.2458
INFO:root:[AutoTrain] ep=159, question='Which language do Czechs speak?', correct=10, chosen=5, rew=-1, eps=0.448, confidence=0.0769
INFO:root:[AutoTrain] ep=160, question='What is UHK?', correct=2, chosen=0, rew=-1, eps=0.446, confidence=-0.0998
INFO:root:[AutoTrain] ep=161, question='Explain the concept of gravity in simple terms.', correct=4, chosen=0, rew=-1, eps=0.444, confidence=0.0769
INFO:root:[AutoTrain] ep=162, question='Czech Republic official language?', correct=10, chosen=7, rew=-1, eps=0.442, confidence=0.0769
INFO:root:[AutoTrain] ep=163, question='How many days does February have in a leap year?', correct=3, chosen=8, rew=-1, eps=0.440, confidence=0.0769
INFO:root:[AutoTrain] ep=164, question='What will the stock market do next week?', correct=11, chosen=0, rew=-1, eps=0.437, confidence=-0.1740
INFO:root:[AutoTrain] ep=165, question='What language do people speak in Czech Republic?', correct=10, chosen=12, rew=-1, eps=0.435, confidence=-0.3748
INFO:root:[AutoTrain] ep=166, question='How many days in leap year February?', correct=3, chosen=3, rew=1, eps=0.433, confidence=0.0769
INFO:root:[AutoTrain] ep=167, question='How does a leap year work? ', correct=4, chosen=11, rew=-1, eps=0.431, confidence=0.0769
INFO:root:[AutoTrain] ep=168, question='What will the stock market do next week?', correct=11, chosen=0, rew=-1, eps=0.429, confidence=-0.2431
INFO:root:[AutoTrain] ep=169, question='Czech Republic official language?', correct=10, chosen=11, rew=-1, eps=0.427, confidence=-0.2067
INFO:root:[AutoTrain] ep=170, question='When is New Year's Day celebrated?', correct=7, chosen=4, rew=-1, eps=0.424, confidence=0.0769
INFO:root:[AutoTrain] ep=171, question='Berlin is capital of which country?', correct=12, chosen=4, rew=-1, eps=0.422, confidence=-0.3334
INFO:root:[AutoTrain] ep=172, question='What will the stock market do next week?', correct=11, chosen=0, rew=-1, eps=0.420, confidence=-0.3112
INFO:root:[AutoTrain] ep=173, question='Who is the painter of 'Lady with an Ermine'?', correct=1, chosen=12, rew=-1, eps=0.418, confidence=0.0769
INFO:root:[AutoTrain] ep=174, question='Give me an example of a secure password.', correct=4, chosen=1, rew=-1, eps=0.416, confidence=-0.1901
INFO:root:[AutoTrain] ep=175, question='Czech Republic official language?', correct=10, chosen=9, rew=-1, eps=0.414, confidence=0.0769
INFO:root:[AutoTrain] ep=176, question='In which country can you find the painting 'Lady with an Ermine'?', correct=8, chosen=8, rew=1, eps=0.412, confidence=0.1816
INFO:root:[AutoTrain] ep=177, question='Explain the concept of gravity in simple terms.', correct=4, chosen=1, rew=-1, eps=0.410, confidence=0.0769
INFO:root:[AutoTrain] ep=178, question='Who painted the Lady with an Ermine?', correct=1, chosen=1, rew=1, eps=0.408, confidence=0.0769
INFO:root:[AutoTrain] ep=179, question='Where is 'Lady with an Ermine' displayed?', correct=8, chosen=8, rew=1, eps=0.406, confidence=-0.2174
INFO:root:[AutoTrain] ep=180, question='Where can I find the painting 'Lady with an Ermine'?', correct=8, chosen=1, rew=-1, eps=0.404, confidence=0.0769
INFO:root:[AutoTrain] ep=181, question='When is New Year's Day celebrated?', correct=7, chosen=0, rew=-1, eps=0.402, confidence=0.0769
INFO:root:[AutoTrain] ep=182, question='What is the difference between a city and a country?', correct=4, chosen=0, rew=-1, eps=0.400, confidence=-0.3025
INFO:root:[AutoTrain] ep=183, question='When is January 1 celebrated?', correct=7, chosen=0, rew=-1, eps=0.398, confidence=0.0769
INFO:root:[AutoTrain] ep=184, question='What is the language used in the Czech Republic?', correct=10, chosen=11, rew=-1, eps=0.396, confidence=-0.4558
INFO:root:[AutoTrain] ep=185, question='What day is New Year?', correct=7, chosen=10, rew=-1, eps=0.394, confidence=0.0769
INFO:root:[AutoTrain] ep=186, question='Where is the capital city of Poland?', correct=0, chosen=0, rew=1, eps=0.392, confidence=0.2074
INFO:root:[AutoTrain] ep=187, question='What is the name of university in Hradec Kralove?', correct=2, chosen=10, rew=-1, eps=0.390, confidence=0.0769
INFO:root:[AutoTrain] ep=188, question='Where is 'Lady with an Ermine' kept?', correct=8, chosen=8, rew=1, eps=0.388, confidence=-0.1289
INFO:root:[AutoTrain] ep=189, question='In which country can you find the painting 'Lady with an Ermine'?', correct=8, chosen=8, rew=1, eps=0.386, confidence=0.3153
INFO:root:[AutoTrain] ep=190, question='How many days does February have in a leap year?', correct=3, chosen=1, rew=-1, eps=0.384, confidence=0.0769
INFO:root:[AutoTrain] ep=191, question='What is the difference between a city and a country?', correct=4, chosen=0, rew=-1, eps=0.382, confidence=-0.4475
INFO:root:[AutoTrain] ep=192, question='Which university that teaches computer science is the biggest in Hradec Kralove?', correct=2, chosen=3, rew=-1, eps=0.380, confidence=0.0769
INFO:root:[AutoTrain] ep=193, question='Who created the painting 'Lady with an Ermine'?', correct=1, chosen=9, rew=-1, eps=0.378, confidence=0.0769
INFO:root:[AutoTrain] ep=194, question='Who created the painting 'Lady with an Ermine'?', correct=1, chosen=8, rew=-1, eps=0.376, confidence=0.0769
INFO:root:[AutoTrain] ep=195, question='Where is 'Lady with an Ermine' displayed?', correct=8, chosen=7, rew=-1, eps=0.374, confidence=0.0769
INFO:root:[AutoTrain] ep=196, question='Capitol of Poland?', correct=0, chosen=12, rew=-1, eps=0.373, confidence=0.0769
INFO:root:[AutoTrain] ep=197, question='Who is the painter of 'Lady with an Ermine'?', correct=1, chosen=1, rew=1, eps=0.371, confidence=-0.1795
INFO:root:[AutoTrain] ep=198, question='Name the painter of the Lady with an Ermine.', correct=1, chosen=1, rew=1, eps=0.369, confidence=-0.0342
INFO:root:[AutoTrain] ep=199, question='How many days does February have in a leap year?', correct=3, chosen=3, rew=1, eps=0.367, confidence=0.3869
INFO:root:[AutoTrain] ep=200, question='Czech Republic language?', correct=10, chosen=10, rew=1, eps=0.365, confidence=-0.2100
