INFO:root:[AutoTrain] ep=0, question='Language spoken in Czech Republic?', correct=10, chosen=4, rew=-1, eps=0.995, confidence=0.0769
INFO:root:[AutoTrain] ep=31, question='Which country has Lady with an Ermine?', correct=8, chosen=8, rew=1, eps=0.852, confidence=0.0769
INFO:root:[AutoTrain] ep=32, question='New Year's Day date?', correct=7, chosen=4, rew=-1, eps=0.848, confidence=0.1256
INFO:root:[AutoTrain] ep=33, question='What is capital of Germany?', correct=6, chosen=8, rew=-1, eps=0.843, confidence=0.0769
INFO:root:[AutoTrain] ep=34, question='What is the capital of Poland?', correct=0, chosen=8, rew=-1, eps=0.839, confidence=0.0769
INFO:root:[AutoTrain] ep=35, question='What is the next winning lottery number?', correct=11, chosen=8, rew=-1, eps=0.835, confidence=0.0769
INFO:root:[AutoTrain] ep=36, question='Name the painter of the Lady with an Ermine.', correct=1, chosen=9, rew=-1, eps=0.831, confidence=0.0769
INFO:root:[AutoTrain] ep=37, question='Czech Republic language?', correct=10, chosen=2, rew=-1, eps=0.827, confidence=0.0769
INFO:root:[AutoTrain] ep=38, question='How many planets will be discovered in the future?', correct=11, chosen=1, rew=-1, eps=0.822, confidence=0.0769
INFO:root:[AutoTrain] ep=39, question='What is my favorite color?', correct=11, chosen=10, rew=-1, eps=0.818, confidence=0.0769
INFO:root:[AutoTrain] ep=40, question='Where can I find the painting 'Lady with an Ermine'?', correct=8, chosen=7, rew=-1, eps=0.814, confidence=0.0769
INFO:root:[AutoTrain] ep=41, question='Warsaw is the capital of what country?', correct=8, chosen=3, rew=-1, eps=0.810, confidence=0.0769
INFO:root:[AutoTrain] ep=42, question='Where is 'Lady with an Ermine' kept?', correct=8, chosen=10, rew=-1, eps=0.806, confidence=0.0769
INFO:root:[AutoTrain] ep=43, question='Which language do people speak in Czech Republic?', correct=10, chosen=6, rew=-1, eps=0.802, confidence=0.0769
INFO:root:[AutoTrain] ep=44, question='Capitol of Poland?', correct=0, chosen=2, rew=-1, eps=0.798, confidence=0.0769
INFO:root:[AutoTrain] ep=45, question='Painter of the Lady with an Ermine?', correct=1, chosen=11, rew=-1, eps=0.794, confidence=0.0769
INFO:root:[AutoTrain] ep=46, question='Capitol of Poland?', correct=0, chosen=2, rew=-1, eps=0.790, confidence=0.0769
INFO:root:[AutoTrain] ep=47, question='Give me an example of a secure password.', correct=4, chosen=6, rew=-1, eps=0.786, confidence=0.0769
INFO:root:[AutoTrain] ep=48, question='New Year's Day date?', correct=7, chosen=2, rew=-1, eps=0.782, confidence=0.0769
INFO:root:[AutoTrain] ep=49, question='Which language is spoken in the Czech Republic?', correct=10, chosen=1, rew=-1, eps=0.778, confidence=0.0769
INFO:root:[AutoTrain] ep=50, question='What is Poland's capital?', correct=0, chosen=2, rew=-1, eps=0.774, confidence=0.0769
INFO:root:[AutoTrain] ep=51, question='Who created the painting 'Lady with an Ermine'?', correct=1, chosen=11, rew=-1, eps=0.771, confidence=0.0769
INFO:root:[AutoTrain] ep=52, question='Warsaw is capital of what country?', correct=8, chosen=7, rew=-1, eps=0.767, confidence=0.1848
INFO:root:[AutoTrain] ep=53, question='How does a leap year work? ', correct=4, chosen=9, rew=-1, eps=0.763, confidence=0.1890
INFO:root:[AutoTrain] ep=54, question='What happens when you mix blue and yellow paint? ', correct=4, chosen=1, rew=-1, eps=0.759, confidence=0.0769
INFO:root:[AutoTrain] ep=55, question='Who will be the next president of Poland?', correct=11, chosen=11, rew=1, eps=0.755, confidence=0.0769
INFO:root:[AutoTrain] ep=56, question='In which country can you find the painting 'Lady with an Ermine'?', correct=8, chosen=12, rew=-1, eps=0.751, confidence=0.0769
INFO:root:[AutoTrain] ep=57, question='UHK university location?', correct=2, chosen=8, rew=-1, eps=0.748, confidence=0.0612
INFO:root:[AutoTrain] ep=58, question='Berlin is capital of which country?', correct=12, chosen=9, rew=-1, eps=0.744, confidence=0.0769
INFO:root:[AutoTrain] ep=59, question='How does a leap year work? ', correct=4, chosen=9, rew=-1, eps=0.740, confidence=0.0769
INFO:root:[AutoTrain] ep=60, question='What language do people speak in Czech Republic?', correct=10, chosen=12, rew=-1, eps=0.737, confidence=0.2709
INFO:root:[AutoTrain] ep=61, question='Where will I be in 10 years?', correct=11, chosen=4, rew=-1, eps=0.733, confidence=0.0376
INFO:root:[AutoTrain] ep=62, question='UHK university location?', correct=2, chosen=7, rew=-1, eps=0.729, confidence=0.0769
INFO:root:[AutoTrain] ep=63, question='How many days does February contain in a leap year?', correct=3, chosen=7, rew=-1, eps=0.726, confidence=0.0769
INFO:root:[AutoTrain] ep=64, question='What is the next number in the sequence: 2, 4 , 8, 16...?', correct=4, chosen=0, rew=-1, eps=0.722, confidence=0.0769
INFO:root:[AutoTrain] ep=65, question='What is the language used in the Czech Republic?', correct=10, chosen=9, rew=-1, eps=0.718, confidence=0.0769
INFO:root:[AutoTrain] ep=66, question='What are the main colors of the Polish flag?', correct=4, chosen=12, rew=-1, eps=0.715, confidence=0.0769
INFO:root:[AutoTrain] ep=67, question='What is the difference between a city and a country?', correct=4, chosen=1, rew=-1, eps=0.711, confidence=0.0769
INFO:root:[AutoTrain] ep=68, question='What is the capital of Poland?', correct=0, chosen=12, rew=-1, eps=0.708, confidence=0.1395
INFO:root:[AutoTrain] ep=69, question='Who is the author of 'Lady with an Ermine'?', correct=1, chosen=8, rew=-1, eps=0.704, confidence=0.0769
INFO:root:[AutoTrain] ep=70, question='What is Poland's capital?', correct=0, chosen=3, rew=-1, eps=0.701, confidence=0.0769
INFO:root:[AutoTrain] ep=71, question='Who will be the next president of Poland?', correct=11, chosen=4, rew=-1, eps=0.697, confidence=0.0769
INFO:root:[AutoTrain] ep=72, question='What are the main colors of the Polish flag?', correct=4, chosen=6, rew=-1, eps=0.694, confidence=0.0769
INFO:root:[AutoTrain] ep=73, question='What day is New Year?', correct=7, chosen=8, rew=-1, eps=0.690, confidence=0.0583
INFO:root:[AutoTrain] ep=74, question='Where is the capital city of Poland?', correct=0, chosen=9, rew=-1, eps=0.687, confidence=0.0769
INFO:root:[AutoTrain] ep=75, question='What language do people speak in Czechia?', correct=10, chosen=7, rew=-1, eps=0.683, confidence=0.0769
INFO:root:[AutoTrain] ep=76, question='UHK university location?', correct=2, chosen=5, rew=-1, eps=0.680, confidence=0.0769
INFO:root:[AutoTrain] ep=77, question='How many planets will be discovered in the future?', correct=11, chosen=6, rew=-1, eps=0.676, confidence=0.1044
INFO:root:[AutoTrain] ep=78, question='Explain the concept of gravity in simple terms.', correct=4, chosen=12, rew=-1, eps=0.673, confidence=0.0769
INFO:root:[AutoTrain] ep=79, question='What is the capital of Poland?', correct=0, chosen=1, rew=-1, eps=0.670, confidence=0.0769
INFO:root:[AutoTrain] ep=80, question='Warsaw is the capital of which country?', correct=8, chosen=5, rew=-1, eps=0.666, confidence=-0.0263
INFO:root:[AutoTrain] ep=81, question='Where is 'Lady with an Ermine' kept?', correct=8, chosen=5, rew=-1, eps=0.663, confidence=-0.0031
INFO:root:[AutoTrain] ep=82, question='Can you tell me what I had for breakfast today?', correct=11, chosen=8, rew=-1, eps=0.660, confidence=0.0813
INFO:root:[AutoTrain] ep=83, question='What is the language used in the Czech Republic?', correct=10, chosen=7, rew=-1, eps=0.656, confidence=0.0769
INFO:root:[AutoTrain] ep=84, question='What is the capital of Poland?', correct=0, chosen=5, rew=-1, eps=0.653, confidence=0.0769
INFO:root:[AutoTrain] ep=85, question='Czech Republic official language?', correct=10, chosen=7, rew=-1, eps=0.650, confidence=0.0769
INFO:root:[AutoTrain] ep=86, question='Warsaw is capital of what country?', correct=8, chosen=8, rew=1, eps=0.647, confidence=-0.0489
INFO:root:[AutoTrain] ep=87, question='What is the difference between a city and a country?', correct=4, chosen=2, rew=-1, eps=0.643, confidence=0.0769
INFO:root:[AutoTrain] ep=88, question='What is UHK?', correct=2, chosen=8, rew=-1, eps=0.640, confidence=0.0248
INFO:root:[AutoTrain] ep=89, question='In which country can you find the painting 'Lady with an Ermine'?', correct=8, chosen=2, rew=-1, eps=0.637, confidence=0.0769
INFO:root:[AutoTrain] ep=90, question='Where is 'Lady with an Ermine' located?', correct=8, chosen=8, rew=1, eps=0.634, confidence=0.0769
INFO:root:[AutoTrain] ep=91, question='Explain the concept of gravity in simple terms.', correct=4, chosen=0, rew=-1, eps=0.631, confidence=0.0769
INFO:root:[AutoTrain] ep=92, question='Where can I find the painting 'Lady with an Ermine'?', correct=8, chosen=5, rew=-1, eps=0.627, confidence=0.0769
INFO:root:[AutoTrain] ep=93, question='When is January 1 celebrated?', correct=7, chosen=3, rew=-1, eps=0.624, confidence=0.0769
INFO:root:[AutoTrain] ep=94, question='What is the language used in the Czech Republic?', correct=10, chosen=12, rew=-1, eps=0.621, confidence=0.0769
INFO:root:[AutoTrain] ep=95, question='On which date do people celebrate New Year’s Day?', correct=7, chosen=8, rew=-1, eps=0.618, confidence=0.0796
INFO:root:[AutoTrain] ep=96, question='Which artist painted 'Lady with an Ermine'?', correct=1, chosen=9, rew=-1, eps=0.615, confidence=0.0769
INFO:root:[AutoTrain] ep=97, question='Where can I find the painting 'Lady with an Ermine'?', correct=8, chosen=8, rew=1, eps=0.612, confidence=-0.0711
INFO:root:[AutoTrain] ep=98, question='What is the next number in the sequence: 2, 4 , 8, 16...?', correct=4, chosen=8, rew=-1, eps=0.609, confidence=-0.0190
INFO:root:[AutoTrain] ep=99, question='What is the capital of Poland?', correct=0, chosen=8, rew=-1, eps=0.606, confidence=-0.0557
INFO:root:[AutoTrain] ep=100, question='What is Poland's capital?', correct=0, chosen=0, rew=1, eps=0.603, confidence=0.0769
INFO:root:[AutoTrain] ep=101, question='Which language is spoken in the Czech Republic?', correct=10, chosen=3, rew=-1, eps=0.600, confidence=0.0769
INFO:root:[AutoTrain] ep=102, question='What is the name of university in Hradec Kralove?', correct=2, chosen=5, rew=-1, eps=0.597, confidence=0.0769
INFO:root:[AutoTrain] ep=103, question='What is the difference between a city and a country?', correct=4, chosen=10, rew=-1, eps=0.594, confidence=0.0769
INFO:root:[AutoTrain] ep=104, question='Explain the concept of gravity in simple terms.', correct=4, chosen=5, rew=-1, eps=0.591, confidence=0.0394
INFO:root:[AutoTrain] ep=105, question='Berlin is capital of which country?', correct=12, chosen=3, rew=-1, eps=0.588, confidence=0.0769
INFO:root:[AutoTrain] ep=106, question='What will the stock market do next week?', correct=11, chosen=8, rew=-1, eps=0.585, confidence=0.1008
INFO:root:[AutoTrain] ep=107, question='Painter of the Lady with an Ermine?', correct=1, chosen=0, rew=-1, eps=0.582, confidence=0.0769
INFO:root:[AutoTrain] ep=108, question='When is New Year's Day celebrated?', correct=7, chosen=8, rew=-1, eps=0.579, confidence=0.0012
INFO:root:[AutoTrain] ep=109, question='Who is the artist behind Lady with an Ermine?', correct=1, chosen=8, rew=-1, eps=0.576, confidence=-0.0243
INFO:root:[AutoTrain] ep=110, question='Where will I be in 10 years?', correct=11, chosen=8, rew=-1, eps=0.573, confidence=-0.0740
INFO:root:[AutoTrain] ep=111, question='Which language is spoken in Czech Republic?', correct=10, chosen=7, rew=-1, eps=0.570, confidence=0.0769
INFO:root:[AutoTrain] ep=112, question='On which date do people celebrate New Year’s Day?', correct=7, chosen=8, rew=-1, eps=0.568, confidence=-0.0107
INFO:root:[AutoTrain] ep=113, question='Painter of the Lady with an Ermine?', correct=1, chosen=8, rew=-1, eps=0.565, confidence=0.0075
INFO:root:[AutoTrain] ep=114, question='Where can I find the painting 'Lady with an Ermine'?', correct=8, chosen=8, rew=1, eps=0.562, confidence=-0.0722
INFO:root:[AutoTrain] ep=115, question='Lady with Ermine location?', correct=8, chosen=8, rew=1, eps=0.559, confidence=-0.0534
INFO:root:[AutoTrain] ep=116, question='What is the capital of Poland?', correct=0, chosen=4, rew=-1, eps=0.556, confidence=0.0769
INFO:root:[AutoTrain] ep=117, question='How many planets will be discovered in the future?', correct=11, chosen=6, rew=-1, eps=0.554, confidence=-0.0312
INFO:root:[AutoTrain] ep=118, question='Explain the concept of gravity in simple terms.', correct=4, chosen=7, rew=-1, eps=0.551, confidence=0.0769
INFO:root:[AutoTrain] ep=119, question='Warsaw is capital of what country?', correct=8, chosen=11, rew=-1, eps=0.548, confidence=0.0769
INFO:root:[AutoTrain] ep=120, question='How many planets will be discovered in the future?', correct=11, chosen=6, rew=-1, eps=0.545, confidence=-0.0447
INFO:root:[AutoTrain] ep=121, question='What is the capital of Czech Republic?', correct=5, chosen=8, rew=-1, eps=0.543, confidence=-0.0329
INFO:root:[AutoTrain] ep=122, question='What is the language used in the Czech Republic?', correct=10, chosen=10, rew=1, eps=0.540, confidence=0.0769
INFO:root:[AutoTrain] ep=123, question='What is the language used in the Czech Republic?', correct=10, chosen=8, rew=-1, eps=0.537, confidence=0.1058
INFO:root:[AutoTrain] ep=124, question='Warsaw is capital of what country?', correct=8, chosen=5, rew=-1, eps=0.534, confidence=0.0769
INFO:root:[AutoTrain] ep=125, question='What is the capital of Poland?', correct=0, chosen=8, rew=-1, eps=0.532, confidence=-0.1588
INFO:root:[AutoTrain] ep=126, question='Explain the concept of gravity in simple terms.', correct=4, chosen=7, rew=-1, eps=0.529, confidence=0.0769
INFO:root:[AutoTrain] ep=127, question='What is the capital of Poland?', correct=0, chosen=8, rew=-1, eps=0.526, confidence=-0.1781
INFO:root:[AutoTrain] ep=128, question='Date of New Year's Day?', correct=7, chosen=3, rew=-1, eps=0.524, confidence=0.0769
INFO:root:[AutoTrain] ep=129, question='How many planets will be discovered in the future?', correct=11, chosen=6, rew=-1, eps=0.521, confidence=-0.1261
INFO:root:[AutoTrain] ep=130, question='What day is New Year?', correct=7, chosen=8, rew=-1, eps=0.519, confidence=-0.2393
INFO:root:[AutoTrain] ep=131, question='Which artist painted 'Lady with an Ermine'?', correct=1, chosen=6, rew=-1, eps=0.516, confidence=0.0769
INFO:root:[AutoTrain] ep=132, question='What language do people speak in Czechia?', correct=10, chosen=8, rew=-1, eps=0.513, confidence=0.1565
INFO:root:[AutoTrain] ep=133, question='What is capital of Germany?', correct=6, chosen=8, rew=-1, eps=0.511, confidence=-0.1768
INFO:root:[AutoTrain] ep=134, question='How many days does February contain in a leap year?', correct=3, chosen=7, rew=-1, eps=0.508, confidence=0.0769
INFO:root:[AutoTrain] ep=135, question='Who is the author of the painting 'Lady with an Ermine'?', correct=1, chosen=5, rew=-1, eps=0.506, confidence=0.0769
INFO:root:[AutoTrain] ep=136, question='Who is the painter of 'Lady with an Ermine'?', correct=1, chosen=5, rew=-1, eps=0.503, confidence=0.0769
INFO:root:[AutoTrain] ep=137, question='What is the capital of Germany?', correct=6, chosen=5, rew=-1, eps=0.501, confidence=0.0769
INFO:root:[AutoTrain] ep=138, question='Name Poland' s capital city', correct=0, chosen=8, rew=-1, eps=0.498, confidence=0.0769
INFO:root:[AutoTrain] ep=139, question='Which university that teaches computer science is the biggest in Hradec Kralove?', correct=2, chosen=6, rew=-1, eps=0.496, confidence=0.0769
INFO:root:[AutoTrain] ep=140, question='What day is New Year?', correct=7, chosen=11, rew=-1, eps=0.493, confidence=-0.2768
INFO:root:[AutoTrain] ep=141, question='What are the main colors of the Polish flag?', correct=4, chosen=7, rew=-1, eps=0.491, confidence=0.0769
INFO:root:[AutoTrain] ep=142, question='On which date do people celebrate New Year’s Day?', correct=7, chosen=8, rew=-1, eps=0.488, confidence=0.0769
INFO:root:[AutoTrain] ep=143, question='What is the language used in the Czech Republic?', correct=10, chosen=3, rew=-1, eps=0.486, confidence=0.0769
INFO:root:[AutoTrain] ep=144, question='What is Poland's capital?', correct=0, chosen=5, rew=-1, eps=0.483, confidence=0.0769
INFO:root:[AutoTrain] ep=145, question='Warsaw is the capital of which country?', correct=8, chosen=8, rew=1, eps=0.481, confidence=-0.2333
INFO:root:[AutoTrain] ep=146, question='Where is 'Lady with an Ermine' kept?', correct=8, chosen=2, rew=-1, eps=0.479, confidence=0.0769
INFO:root:[AutoTrain] ep=147, question='When is New Year’s Day celebrated?', correct=7, chosen=2, rew=-1, eps=0.476, confidence=-0.3195
INFO:root:[AutoTrain] ep=148, question='Language spoken in Czech Republic?', correct=10, chosen=4, rew=-1, eps=0.474, confidence=0.0769
INFO:root:[AutoTrain] ep=149, question='Tell me about UHK', correct=2, chosen=11, rew=-1, eps=0.471, confidence=-0.1993
INFO:root:[AutoTrain] ep=150, question='Name Poland' s capital city', correct=0, chosen=3, rew=-1, eps=0.469, confidence=0.0769
INFO:root:[AutoTrain] ep=151, question='Which language do people speak in Czech Republic?', correct=10, chosen=8, rew=-1, eps=0.467, confidence=-0.3094
INFO:root:[AutoTrain] ep=152, question='How many days in leap year February?', correct=3, chosen=9, rew=-1, eps=0.464, confidence=-0.2486
INFO:root:[AutoTrain] ep=153, question='Is there a university called UHK?', correct=2, chosen=11, rew=-1, eps=0.462, confidence=-0.2764
INFO:root:[AutoTrain] ep=154, question='When is January 1 celebrated?', correct=7, chosen=0, rew=-1, eps=0.460, confidence=0.0769
INFO:root:[AutoTrain] ep=155, question='Who is the author of 'Lady with an Ermine'?', correct=1, chosen=12, rew=-1, eps=0.458, confidence=-0.1819
INFO:root:[AutoTrain] ep=156, question='Language spoken in Czech Republic?', correct=10, chosen=0, rew=-1, eps=0.455, confidence=-0.5255
INFO:root:[AutoTrain] ep=157, question='What is the difference between a city and a country?', correct=4, chosen=7, rew=-1, eps=0.453, confidence=0.0769
INFO:root:[AutoTrain] ep=158, question='What is the capital of Germany?', correct=6, chosen=12, rew=-1, eps=0.451, confidence=-0.3689
INFO:root:[AutoTrain] ep=159, question='What day is New Year?', correct=7, chosen=9, rew=-1, eps=0.448, confidence=0.0769
INFO:root:[AutoTrain] ep=160, question='On which date do people celebrate New Year’s Day?', correct=7, chosen=3, rew=-1, eps=0.446, confidence=0.0769
INFO:root:[AutoTrain] ep=161, question='Berlin is capital of which country?', correct=12, chosen=8, rew=-1, eps=0.444, confidence=-0.2561
INFO:root:[AutoTrain] ep=162, question='Where is 'Lady with an Ermine' located?', correct=8, chosen=8, rew=1, eps=0.442, confidence=-0.1963
INFO:root:[AutoTrain] ep=163, question='When is New Year's Day celebrated?', correct=7, chosen=4, rew=-1, eps=0.440, confidence=0.0769
INFO:root:[AutoTrain] ep=164, question='In which city is 'Lady with an Ermine' located?', correct=9, chosen=9, rew=1, eps=0.437, confidence=0.0769
INFO:root:[AutoTrain] ep=165, question='Where is located the painting called 'Lady with an Ermine'?', correct=8, chosen=12, rew=-1, eps=0.435, confidence=0.0769
INFO:root:[AutoTrain] ep=166, question='Which country has Lady with an Ermine?', correct=8, chosen=8, rew=1, eps=0.433, confidence=-0.1186
INFO:root:[AutoTrain] ep=167, question='What will the stock market do next week?', correct=11, chosen=0, rew=-1, eps=0.431, confidence=-0.3193
INFO:root:[AutoTrain] ep=168, question='How many days does February contain in a leap year?', correct=3, chosen=6, rew=-1, eps=0.429, confidence=0.0769
INFO:root:[AutoTrain] ep=169, question='Name the painter of the Lady with an Ermine.', correct=1, chosen=8, rew=-1, eps=0.427, confidence=-0.3944
INFO:root:[AutoTrain] ep=170, question='What is the capital of Czech Republic?', correct=5, chosen=7, rew=-1, eps=0.424, confidence=0.0769
INFO:root:[AutoTrain] ep=171, question='Lady with Ermine location?', correct=8, chosen=8, rew=1, eps=0.422, confidence=-0.3189
INFO:root:[AutoTrain] ep=172, question='What is the capital of Poland?', correct=0, chosen=8, rew=-1, eps=0.420, confidence=0.0769
INFO:root:[AutoTrain] ep=173, question='When is January 1 celebrated?', correct=7, chosen=2, rew=-1, eps=0.418, confidence=-0.1851
INFO:root:[AutoTrain] ep=174, question='Lady with Ermine location?', correct=8, chosen=2, rew=-1, eps=0.416, confidence=0.0769
INFO:root:[AutoTrain] ep=175, question='Is there a university called UHK?', correct=2, chosen=1, rew=-1, eps=0.414, confidence=0.0769
INFO:root:[AutoTrain] ep=176, question='Where you can found painting: Lady with an Ermine?', correct=8, chosen=10, rew=-1, eps=0.412, confidence=0.0769
INFO:root:[AutoTrain] ep=177, question='Who is the painter of 'Lady with an Ermine'?', correct=1, chosen=12, rew=-1, eps=0.410, confidence=-0.3865
INFO:root:[AutoTrain] ep=178, question='What is the language used in the Czech Republic?', correct=10, chosen=11, rew=-1, eps=0.408, confidence=0.0769
INFO:root:[AutoTrain] ep=179, question='Which university that teaches computer science is the biggest in Hradec Kralove?', correct=2, chosen=6, rew=-1, eps=0.406, confidence=0.0769
INFO:root:[AutoTrain] ep=180, question='Lady with Ermine location?', correct=8, chosen=8, rew=1, eps=0.404, confidence=-0.2212
INFO:root:[AutoTrain] ep=181, question='What happens when you mix blue and yellow paint? ', correct=4, chosen=8, rew=-1, eps=0.402, confidence=-0.2652
INFO:root:[AutoTrain] ep=182, question='New Year's Day date?', correct=7, chosen=11, rew=-1, eps=0.400, confidence=-0.5470
INFO:root:[AutoTrain] ep=183, question='What is the capital of Czech Republic?', correct=5, chosen=0, rew=-1, eps=0.398, confidence=-0.4726
INFO:root:[AutoTrain] ep=184, question='What language do people speak in Czech Republic?', correct=10, chosen=8, rew=-1, eps=0.396, confidence=-0.4752
INFO:root:[AutoTrain] ep=185, question='UHK university location?', correct=2, chosen=0, rew=-1, eps=0.394, confidence=-0.4319
INFO:root:[AutoTrain] ep=186, question='Can you tell me what I had for breakfast today?', correct=11, chosen=0, rew=-1, eps=0.392, confidence=-0.3438
INFO:root:[AutoTrain] ep=187, question='Warsaw is the capital of what country?', correct=8, chosen=8, rew=1, eps=0.390, confidence=-0.3135
INFO:root:[AutoTrain] ep=188, question='Which language do people speak in Czech Republic?', correct=10, chosen=5, rew=-1, eps=0.388, confidence=0.0769
INFO:root:[AutoTrain] ep=189, question='What is the name of the painting , which features a lady with an ermine?', correct=9, chosen=8, rew=-1, eps=0.386, confidence=-0.1584
INFO:root:[AutoTrain] ep=190, question='What is my favorite color?', correct=11, chosen=0, rew=-1, eps=0.384, confidence=-0.3444
INFO:root:[AutoTrain] ep=191, question='What is the language used in the Czech Republic?', correct=10, chosen=0, rew=-1, eps=0.382, confidence=-0.6292
INFO:root:[AutoTrain] ep=192, question='What is the name of the painting , which features a lady with an ermine?', correct=9, chosen=8, rew=-1, eps=0.380, confidence=-0.1614
INFO:root:[AutoTrain] ep=193, question='Which language do people speak in Czech Republic?', correct=10, chosen=5, rew=-1, eps=0.378, confidence=0.0769
INFO:root:[AutoTrain] ep=194, question='Where is 'Lady with an Ermine' kept?', correct=8, chosen=8, rew=1, eps=0.376, confidence=-0.0384
INFO:root:[AutoTrain] ep=195, question='What is the capital of Czech Republic?', correct=5, chosen=0, rew=-1, eps=0.374, confidence=-0.4919
INFO:root:[AutoTrain] ep=196, question='What is UHK?', correct=2, chosen=0, rew=-1, eps=0.373, confidence=-0.3960
INFO:root:[AutoTrain] ep=197, question='In which country can you find the painting 'Lady with an Ermine'?', correct=8, chosen=7, rew=-1, eps=0.371, confidence=0.0769
INFO:root:[AutoTrain] ep=198, question='In which city is 'Lady with an Ermine' located?', correct=9, chosen=8, rew=-1, eps=0.369, confidence=0.3360
INFO:root:[AutoTrain] ep=199, question='What language do people speak in Czech Republic?', correct=10, chosen=10, rew=1, eps=0.367, confidence=0.0769
INFO:root:[AutoTrain] ep=200, question='Which country has Lady with an Ermine?', correct=8, chosen=8, rew=1, eps=0.365, confidence=0.1257
INFO:root:[AutoTrain] ep=201, question='Czech Republic official language?', correct=10, chosen=10, rew=1, eps=0.363, confidence=-0.4686
