INFO:root:[AutoTrain] ep=0, question='Warsaw is the capital of which country?', correct=8, chosen=8, rew=1, eps=0.995
INFO:root:[AutoTrain] ep=45, question='UHK university location?', correct=2, chosen=11, rew=-1, eps=0.794
INFO:root:[AutoTrain] ep=46, question='Czech Republic language?', correct=10, chosen=0, rew=-1, eps=0.790
INFO:root:[AutoTrain] ep=47, question='Who is the artist behind Lady with an Ermine?', correct=1, chosen=3, rew=-1, eps=0.786
INFO:root:[AutoTrain] ep=48, question='Which language do people speak in Czech Republic?', correct=10, chosen=12, rew=-1, eps=0.782
INFO:root:[AutoTrain] ep=49, question='What language do people speak in Czechia?', correct=10, chosen=12, rew=-1, eps=0.778
INFO:root:[AutoTrain] ep=50, question='What are the main colors of the Polish flag?', correct=4, chosen=4, rew=1, eps=0.774
INFO:root:[AutoTrain] ep=51, question='What is the capital of the Czech Republic?', correct=5, chosen=1, rew=-1, eps=0.771
INFO:root:[AutoTrain] ep=52, question='Capitol of Poland?', correct=0, chosen=3, rew=-1, eps=0.767
INFO:root:[AutoTrain] ep=53, question='When is New Year’s Day celebrated?', correct=7, chosen=1, rew=-1, eps=0.763
INFO:root:[AutoTrain] ep=54, question='What is the name of university in Hradec Kralove?', correct=2, chosen=11, rew=-1, eps=0.759
INFO:root:[AutoTrain] ep=55, question='Who will be the next president of Poland?', correct=11, chosen=4, rew=-1, eps=0.755
INFO:root:[AutoTrain] ep=56, question='What is capital of Germany?', correct=6, chosen=4, rew=-1, eps=0.751
INFO:root:[AutoTrain] ep=57, question='What is the language used in the Czech Republic?', correct=10, chosen=10, rew=1, eps=0.748
INFO:root:[AutoTrain] ep=58, question='Which country has Lady with an Ermine?', correct=8, chosen=12, rew=-1, eps=0.744
INFO:root:[AutoTrain] ep=59, question='How many days in leap year February?', correct=3, chosen=4, rew=-1, eps=0.740
INFO:root:[AutoTrain] ep=60, question='What language do people speak in Czech Republic?', correct=10, chosen=6, rew=-1, eps=0.737
INFO:root:[AutoTrain] ep=61, question='What happens when you mix blue and yellow paint? ', correct=4, chosen=11, rew=-1, eps=0.733
INFO:root:[AutoTrain] ep=62, question='What is capital of Germany?', correct=6, chosen=11, rew=-1, eps=0.729
INFO:root:[AutoTrain] ep=63, question='What is the capital of Germany?', correct=6, chosen=3, rew=-1, eps=0.726
INFO:root:[AutoTrain] ep=64, question='How many days does February have in a leap year?', correct=3, chosen=10, rew=-1, eps=0.722
INFO:root:[AutoTrain] ep=65, question='Give me an example of a secure password.', correct=4, chosen=0, rew=-1, eps=0.718
INFO:root:[AutoTrain] ep=66, question='University in Hradec Kralove?', correct=2, chosen=6, rew=-1, eps=0.715
INFO:root:[AutoTrain] ep=67, question='Name Poland' s capital city', correct=0, chosen=4, rew=-1, eps=0.711
INFO:root:[AutoTrain] ep=68, question='What will the stock market do next week?', correct=11, chosen=4, rew=-1, eps=0.708
INFO:root:[AutoTrain] ep=69, question='How many days in leap year February?', correct=3, chosen=0, rew=-1, eps=0.704
INFO:root:[AutoTrain] ep=70, question='Which language is spoken in Czech Republic?', correct=10, chosen=7, rew=-1, eps=0.701
INFO:root:[AutoTrain] ep=71, question='What is capital of Germany?', correct=6, chosen=4, rew=-1, eps=0.697
INFO:root:[AutoTrain] ep=72, question='Which language is spoken in the Czech Republic?', correct=10, chosen=5, rew=-1, eps=0.694
INFO:root:[AutoTrain] ep=73, question='What is the next winning lottery number?', correct=11, chosen=9, rew=-1, eps=0.690
INFO:root:[AutoTrain] ep=74, question='University in Hradec Kralove?', correct=2, chosen=11, rew=-1, eps=0.687
INFO:root:[AutoTrain] ep=75, question='Which university that teaches computer science is the biggest in Hradec Kralove?', correct=2, chosen=7, rew=-1, eps=0.683
INFO:root:[AutoTrain] ep=76, question='What is my favorite color?', correct=11, chosen=7, rew=-1, eps=0.680
INFO:root:[AutoTrain] ep=77, question='What is the name of the painting , which features a lady with an ermine?', correct=9, chosen=6, rew=-1, eps=0.676
INFO:root:[AutoTrain] ep=78, question='Czech Republic official language?', correct=10, chosen=5, rew=-1, eps=0.673
INFO:root:[AutoTrain] ep=79, question='Where will I be in 10 years?', correct=11, chosen=8, rew=-1, eps=0.670
INFO:root:[AutoTrain] ep=80, question='Explain the concept of gravity in simple terms.', correct=4, chosen=1, rew=-1, eps=0.666
INFO:root:[AutoTrain] ep=81, question='Where is located the painting called 'Lady with an Ermine'?', correct=8, chosen=2, rew=-1, eps=0.663
INFO:root:[AutoTrain] ep=82, question='Who is the artist behind Lady with an Ermine?', correct=1, chosen=8, rew=-1, eps=0.660
INFO:root:[AutoTrain] ep=83, question='Warsaw is capital of what country?', correct=8, chosen=1, rew=-1, eps=0.656
INFO:root:[AutoTrain] ep=84, question='New Year's Day date?', correct=7, chosen=3, rew=-1, eps=0.653
INFO:root:[AutoTrain] ep=85, question='Who is the author of 'Lady with an Ermine'?', correct=1, chosen=7, rew=-1, eps=0.650
INFO:root:[AutoTrain] ep=86, question='Is there a university called UHK?', correct=2, chosen=8, rew=-1, eps=0.647
INFO:root:[AutoTrain] ep=87, question='How many days does February contain in a leap year?', correct=3, chosen=2, rew=-1, eps=0.643
INFO:root:[AutoTrain] ep=88, question='Tell me about UHK', correct=2, chosen=8, rew=-1, eps=0.640
INFO:root:[AutoTrain] ep=89, question='Warsaw is the capital of what country?', correct=8, chosen=8, rew=1, eps=0.637
INFO:root:[AutoTrain] ep=90, question='Who is the painter of 'Lady with an Ermine'?', correct=1, chosen=8, rew=-1, eps=0.634
INFO:root:[AutoTrain] ep=91, question='Painter of the Lady with an Ermine?', correct=1, chosen=9, rew=-1, eps=0.631
INFO:root:[AutoTrain] ep=92, question='When is New Year's Day celebrated?', correct=7, chosen=10, rew=-1, eps=0.627
INFO:root:[AutoTrain] ep=93, question='Who is the artist behind Lady with an Ermine?', correct=1, chosen=12, rew=-1, eps=0.624
INFO:root:[AutoTrain] ep=94, question='Warsaw is the capital of which country?', correct=8, chosen=1, rew=-1, eps=0.621
INFO:root:[AutoTrain] ep=95, question='Name the painter of the Lady with an Ermine.', correct=1, chosen=8, rew=-1, eps=0.618
INFO:root:[AutoTrain] ep=96, question='Which language is spoken in Czech Republic?', correct=10, chosen=10, rew=1, eps=0.615
INFO:root:[AutoTrain] ep=97, question='Date of New Year's Day?', correct=7, chosen=8, rew=-1, eps=0.612
INFO:root:[AutoTrain] ep=98, question='University in Hradec Kralove?', correct=2, chosen=5, rew=-1, eps=0.609
INFO:root:[AutoTrain] ep=99, question='University in Hradec Kralove?', correct=2, chosen=4, rew=-1, eps=0.606
INFO:root:[AutoTrain] ep=100, question='What is the capital of Poland?', correct=0, chosen=8, rew=-1, eps=0.603
INFO:root:[AutoTrain] ep=101, question='Warsaw is capital of what country?', correct=8, chosen=8, rew=1, eps=0.600
INFO:root:[AutoTrain] ep=102, question='Which university that teaches computer science is the biggest in Hradec Kralove?', correct=2, chosen=10, rew=-1, eps=0.597
INFO:root:[AutoTrain] ep=103, question='Berlin is capital of which country?', correct=12, chosen=7, rew=-1, eps=0.594
INFO:root:[AutoTrain] ep=104, question='What is Poland's capital?', correct=0, chosen=8, rew=-1, eps=0.591
INFO:root:[AutoTrain] ep=105, question='In which city is 'Lady with an Ermine' located?', correct=9, chosen=8, rew=-1, eps=0.588
INFO:root:[AutoTrain] ep=106, question='What is the next number in the sequence: 2, 4 , 8, 16...?', correct=4, chosen=10, rew=-1, eps=0.585
INFO:root:[AutoTrain] ep=107, question='What is the name of the painting , which features a lady with an ermine?', correct=9, chosen=10, rew=-1, eps=0.582
INFO:root:[AutoTrain] ep=108, question='When is January 1 celebrated?', correct=7, chosen=8, rew=-1, eps=0.579
INFO:root:[AutoTrain] ep=109, question='University in Hradec Kralove?', correct=2, chosen=10, rew=-1, eps=0.576
INFO:root:[AutoTrain] ep=110, question='Who is the painter of 'Lady with an Ermine'?', correct=1, chosen=1, rew=1, eps=0.573
INFO:root:[AutoTrain] ep=111, question='What is the capital of Czech Republic?', correct=5, chosen=12, rew=-1, eps=0.570
INFO:root:[AutoTrain] ep=112, question='What happens when you mix blue and yellow paint? ', correct=4, chosen=1, rew=-1, eps=0.568
INFO:root:[AutoTrain] ep=113, question='In which country can you find the painting 'Lady with an Ermine'?', correct=8, chosen=11, rew=-1, eps=0.565
INFO:root:[AutoTrain] ep=114, question='Where will I be in 10 years?', correct=11, chosen=3, rew=-1, eps=0.562
INFO:root:[AutoTrain] ep=115, question='What is the capital of Poland?', correct=0, chosen=8, rew=-1, eps=0.559
INFO:root:[AutoTrain] ep=116, question='Which artist painted 'Lady with an Ermine'?', correct=1, chosen=8, rew=-1, eps=0.556
INFO:root:[AutoTrain] ep=117, question='What is the capital of the Czech Republic?', correct=5, chosen=0, rew=-1, eps=0.554
INFO:root:[AutoTrain] ep=118, question='What is the capital of Poland?', correct=0, chosen=10, rew=-1, eps=0.551
INFO:root:[AutoTrain] ep=119, question='Name the painter of the Lady with an Ermine.', correct=1, chosen=11, rew=-1, eps=0.548
INFO:root:[AutoTrain] ep=120, question='Which university that teaches computer science is the biggest in Hradec Kralove?', correct=2, chosen=1, rew=-1, eps=0.545
INFO:root:[AutoTrain] ep=121, question='Name Poland' s capital city', correct=0, chosen=7, rew=-1, eps=0.543
INFO:root:[AutoTrain] ep=122, question='Can you tell me what I had for breakfast today?', correct=11, chosen=12, rew=-1, eps=0.540
INFO:root:[AutoTrain] ep=123, question='What is the name of the painting , which features a lady with an ermine?', correct=9, chosen=8, rew=-1, eps=0.537
INFO:root:[AutoTrain] ep=124, question='Which language do people speak in Czech Republic?', correct=10, chosen=10, rew=1, eps=0.534
INFO:root:[AutoTrain] ep=125, question='In which country can you find the painting 'Lady with an Ermine'?', correct=8, chosen=9, rew=-1, eps=0.532
INFO:root:[AutoTrain] ep=126, question='Which artist painted 'Lady with an Ermine'?', correct=1, chosen=1, rew=1, eps=0.529
INFO:root:[AutoTrain] ep=127, question='What is the next winning lottery number?', correct=11, chosen=4, rew=-1, eps=0.526
INFO:root:[AutoTrain] ep=128, question='Which country has Lady with an Ermine?', correct=8, chosen=9, rew=-1, eps=0.524
INFO:root:[AutoTrain] ep=129, question='What language do people speak in Czech Republic?', correct=10, chosen=10, rew=1, eps=0.521
INFO:root:[AutoTrain] ep=130, question='Which language do Czechs speak?', correct=10, chosen=10, rew=1, eps=0.519
INFO:root:[AutoTrain] ep=131, question='Which language do Czechs speak?', correct=10, chosen=2, rew=-1, eps=0.516
INFO:root:[AutoTrain] ep=132, question='What language do people speak in Czechia?', correct=10, chosen=10, rew=1, eps=0.513
INFO:root:[AutoTrain] ep=133, question='Warsaw is capital of what country?', correct=8, chosen=12, rew=-1, eps=0.511
INFO:root:[AutoTrain] ep=134, question='In which city is 'Lady with an Ermine' located?', correct=9, chosen=7, rew=-1, eps=0.508
INFO:root:[AutoTrain] ep=135, question='How many planets will be discovered in the future?', correct=11, chosen=3, rew=-1, eps=0.506
INFO:root:[AutoTrain] ep=136, question='Who will be the next president of Poland?', correct=11, chosen=7, rew=-1, eps=0.503
INFO:root:[AutoTrain] ep=137, question='What is the name of university in Hradec Kralove?', correct=2, chosen=1, rew=-1, eps=0.501
INFO:root:[AutoTrain] ep=138, question='Is there a university called UHK?', correct=2, chosen=1, rew=-1, eps=0.498
INFO:root:[AutoTrain] ep=139, question='What language do people speak in Czech Republic?', correct=10, chosen=10, rew=1, eps=0.496
INFO:root:[AutoTrain] ep=140, question='Warsaw is the capital of what country?', correct=8, chosen=1, rew=-1, eps=0.493
INFO:root:[AutoTrain] ep=141, question='When is New Year's Day celebrated?', correct=7, chosen=0, rew=-1, eps=0.491
INFO:root:[AutoTrain] ep=142, question='Which city keeps 'Lady with an Ermine'?', correct=8, chosen=8, rew=1, eps=0.488
INFO:root:[AutoTrain] ep=143, question='What is the capital of Germany?', correct=6, chosen=8, rew=-1, eps=0.486
INFO:root:[AutoTrain] ep=144, question='Which artist painted 'Lady with an Ermine'?', correct=1, chosen=1, rew=1, eps=0.483
INFO:root:[AutoTrain] ep=145, question='Which language is spoken in Czech Republic?', correct=10, chosen=11, rew=-1, eps=0.481
INFO:root:[AutoTrain] ep=146, question='How many planets will be discovered in the future?', correct=11, chosen=11, rew=1, eps=0.479
INFO:root:[AutoTrain] ep=147, question='Where will I be in 10 years?', correct=11, chosen=1, rew=-1, eps=0.476
INFO:root:[AutoTrain] ep=148, question='Where is the capital city of Poland?', correct=0, chosen=2, rew=-1, eps=0.474
INFO:root:[AutoTrain] ep=149, question='Which city keeps 'Lady with an Ermine'?', correct=8, chosen=8, rew=1, eps=0.471
INFO:root:[AutoTrain] ep=150, question='How many days in leap year February?', correct=3, chosen=11, rew=-1, eps=0.469
INFO:root:[AutoTrain] ep=151, question='Which country has Lady with an Ermine?', correct=8, chosen=1, rew=-1, eps=0.467
INFO:root:[AutoTrain] ep=152, question='What is the difference between a city and a country?', correct=4, chosen=6, rew=-1, eps=0.464
INFO:root:[AutoTrain] ep=153, question='What is the next winning lottery number?', correct=11, chosen=1, rew=-1, eps=0.462
INFO:root:[AutoTrain] ep=154, question='When is New Year’s Day celebrated?', correct=7, chosen=1, rew=-1, eps=0.460
INFO:root:[AutoTrain] ep=155, question='What is the capital of Poland?', correct=0, chosen=1, rew=-1, eps=0.458
INFO:root:[AutoTrain] ep=156, question='New Year's Day date?', correct=7, chosen=1, rew=-1, eps=0.455
INFO:root:[AutoTrain] ep=157, question='Date of New Year's Day?', correct=7, chosen=1, rew=-1, eps=0.453
INFO:root:[AutoTrain] ep=158, question='Warsaw is capital of what country?', correct=8, chosen=8, rew=1, eps=0.451
INFO:root:[AutoTrain] ep=159, question='In which country can you find the painting 'Lady with an Ermine'?', correct=8, chosen=4, rew=-1, eps=0.448
INFO:root:[AutoTrain] ep=160, question='Who is the painter of 'Lady with an Ermine'?', correct=1, chosen=7, rew=-1, eps=0.446
INFO:root:[AutoTrain] ep=161, question='Berlin is capital of which country?', correct=12, chosen=8, rew=-1, eps=0.444
INFO:root:[AutoTrain] ep=162, question='What are the main colors of the Polish flag?', correct=4, chosen=4, rew=1, eps=0.442
INFO:root:[AutoTrain] ep=163, question='Capitol of Poland?', correct=0, chosen=0, rew=1, eps=0.440
INFO:root:[AutoTrain] ep=164, question='When is New Year’s Day celebrated?', correct=7, chosen=7, rew=1, eps=0.437
INFO:root:[AutoTrain] ep=165, question='Is there a university called UHK?', correct=2, chosen=6, rew=-1, eps=0.435
INFO:root:[AutoTrain] ep=166, question='Warsaw is capital of what country?', correct=8, chosen=8, rew=1, eps=0.433
INFO:root:[AutoTrain] ep=167, question='Who is the artist behind Lady with an Ermine?', correct=1, chosen=4, rew=-1, eps=0.431
INFO:root:[AutoTrain] ep=168, question='Warsaw is the capital of which country?', correct=8, chosen=5, rew=-1, eps=0.429
INFO:root:[AutoTrain] ep=169, question='What is the capital of Czech Republic?', correct=5, chosen=10, rew=-1, eps=0.427
INFO:root:[AutoTrain] ep=170, question='Who is the author of the painting 'Lady with an Ermine'?', correct=1, chosen=1, rew=1, eps=0.424
INFO:root:[AutoTrain] ep=171, question='Language spoken in Czech Republic?', correct=10, chosen=4, rew=-1, eps=0.422
INFO:root:[AutoTrain] ep=172, question='Date of New Year's Day?', correct=7, chosen=7, rew=1, eps=0.420
INFO:root:[AutoTrain] ep=173, question='Name the painter of the Lady with an Ermine.', correct=1, chosen=1, rew=1, eps=0.418
INFO:root:[AutoTrain] ep=174, question='Which university that teaches computer science is the biggest in Hradec Kralove?', correct=2, chosen=2, rew=1, eps=0.416
INFO:root:[AutoTrain] ep=175, question='What is the name of the painting , which features a lady with an ermine?', correct=9, chosen=1, rew=-1, eps=0.414
INFO:root:[AutoTrain] ep=176, question='Who is the painter of 'Lady with an Ermine'?', correct=1, chosen=0, rew=-1, eps=0.412
INFO:root:[AutoTrain] ep=177, question='New Year's Day date?', correct=7, chosen=7, rew=1, eps=0.410
INFO:root:[AutoTrain] ep=178, question='When is New Year's Day celebrated?', correct=7, chosen=7, rew=1, eps=0.408
INFO:root:[AutoTrain] ep=179, question='Where is located the painting called 'Lady with an Ermine'?', correct=8, chosen=4, rew=-1, eps=0.406
INFO:root:[AutoTrain] ep=180, question='Which language is spoken in Czech Republic?', correct=10, chosen=6, rew=-1, eps=0.404
INFO:root:[AutoTrain] ep=181, question='Date of New Year's Day?', correct=7, chosen=3, rew=-1, eps=0.402
INFO:root:[AutoTrain] ep=182, question='Berlin is capital of which country?', correct=12, chosen=3, rew=-1, eps=0.400
INFO:root:[AutoTrain] ep=183, question='UHK university location?', correct=2, chosen=7, rew=-1, eps=0.398
INFO:root:[AutoTrain] ep=184, question='Capitol of Poland?', correct=0, chosen=4, rew=-1, eps=0.396
INFO:root:[AutoTrain] ep=185, question='Where is 'Lady with an Ermine' displayed?', correct=8, chosen=11, rew=-1, eps=0.394
INFO:root:[AutoTrain] ep=186, question='When is January 1 celebrated?', correct=7, chosen=10, rew=-1, eps=0.392
INFO:root:[AutoTrain] ep=187, question='What is the difference between a city and a country?', correct=4, chosen=8, rew=-1, eps=0.390
INFO:root:[AutoTrain] ep=188, question='In which city is 'Lady with an Ermine' located?', correct=9, chosen=10, rew=-1, eps=0.388
INFO:root:[AutoTrain] ep=189, question='Where will I be in 10 years?', correct=11, chosen=10, rew=-1, eps=0.386
INFO:root:[AutoTrain] ep=190, question='What is the difference between a city and a country?', correct=4, chosen=8, rew=-1, eps=0.384
INFO:root:[AutoTrain] ep=191, question='What are the main colors of the Polish flag?', correct=4, chosen=4, rew=1, eps=0.382
INFO:root:[AutoTrain] ep=192, question='Where you can found painting: Lady with an Ermine?', correct=8, chosen=7, rew=-1, eps=0.380
INFO:root:[AutoTrain] ep=193, question='Who is the artist behind Lady with an Ermine?', correct=1, chosen=6, rew=-1, eps=0.378
INFO:root:[AutoTrain] ep=194, question='Who will be the next president of Poland?', correct=11, chosen=1, rew=-1, eps=0.376
INFO:root:[AutoTrain] ep=195, question='Czech Republic language?', correct=10, chosen=10, rew=1, eps=0.374
INFO:root:[AutoTrain] ep=196, question='What is the next number in the sequence: 2, 4 , 8, 16...?', correct=4, chosen=11, rew=-1, eps=0.373
INFO:root:[AutoTrain] ep=197, question='Who is the author of the painting 'Lady with an Ermine'?', correct=1, chosen=1, rew=1, eps=0.371
INFO:root:[AutoTrain] ep=198, question='Name the painter of the Lady with an Ermine.', correct=1, chosen=1, rew=1, eps=0.369
INFO:root:[AutoTrain] ep=199, question='Which language do Czechs speak?', correct=10, chosen=10, rew=1, eps=0.367
INFO:root:[AutoTrain] ep=200, question='What is the language used in the Czech Republic?', correct=10, chosen=10, rew=1, eps=0.365
INFO:root:[AutoTrain] ep=201, question='Which language do people speak in Czech Republic?', correct=10, chosen=10, rew=1, eps=0.363
INFO:root:[AutoTrain] ep=202, question='What is the name of the painting , which features a lady with an ermine?', correct=9, chosen=1, rew=-1, eps=0.361
INFO:root:[AutoTrain] ep=203, question='Where is 'Lady with an Ermine' kept?', correct=8, chosen=3, rew=-1, eps=0.360
INFO:root:[AutoTrain] ep=204, question='Which language is spoken in the Czech Republic?', correct=10, chosen=10, rew=1, eps=0.358
INFO:root:[AutoTrain] ep=205, question='How many planets will be discovered in the future?', correct=11, chosen=6, rew=-1, eps=0.356
INFO:root:[AutoTrain] ep=206, question='What is the next winning lottery number?', correct=11, chosen=2, rew=-1, eps=0.354
INFO:root:[AutoTrain] ep=207, question='How many days in leap year February?', correct=3, chosen=1, rew=-1, eps=0.353
INFO:root:[AutoTrain] ep=208, question='What is the next winning lottery number?', correct=11, chosen=2, rew=-1, eps=0.351
INFO:root:[AutoTrain] ep=209, question='Capital of Poland is? ', correct=0, chosen=7, rew=-1, eps=0.349
INFO:root:[AutoTrain] ep=210, question='What is the capital of Poland?', correct=0, chosen=2, rew=-1, eps=0.347
INFO:root:[AutoTrain] ep=211, question='How does a leap year work? ', correct=4, chosen=1, rew=-1, eps=0.346
INFO:root:[AutoTrain] ep=212, question='How many planets will be discovered in the future?', correct=11, chosen=7, rew=-1, eps=0.344
INFO:root:[AutoTrain] ep=213, question='Who is the author of 'Lady with an Ermine'?', correct=1, chosen=5, rew=-1, eps=0.342
INFO:root:[AutoTrain] ep=214, question='Which language is spoken in the Czech Republic?', correct=10, chosen=10, rew=1, eps=0.340
INFO:root:[AutoTrain] ep=215, question='Capitol of Poland?', correct=0, chosen=7, rew=-1, eps=0.339
INFO:root:[AutoTrain] ep=216, question='How many days does February have in a leap year?', correct=3, chosen=4, rew=-1, eps=0.337
INFO:root:[AutoTrain] ep=217, question='What is the capital of Czech Republic?', correct=5, chosen=10, rew=-1, eps=0.335
INFO:root:[AutoTrain] ep=218, question='How many planets will be discovered in the future?', correct=11, chosen=12, rew=-1, eps=0.334
INFO:root:[AutoTrain] ep=219, question='What is capital of Germany?', correct=6, chosen=8, rew=-1, eps=0.332
INFO:root:[AutoTrain] ep=220, question='How many days does February have in a leap year?', correct=3, chosen=7, rew=-1, eps=0.330
INFO:root:[AutoTrain] ep=221, question='What is the next number in the sequence: 2, 4 , 8, 16...?', correct=4, chosen=1, rew=-1, eps=0.329
INFO:root:[AutoTrain] ep=222, question='What is capital of Germany?', correct=6, chosen=2, rew=-1, eps=0.327
INFO:root:[AutoTrain] ep=223, question='Which language is spoken in the Czech Republic?', correct=10, chosen=10, rew=1, eps=0.325
INFO:root:[AutoTrain] ep=224, question='What is the difference between a city and a country?', correct=4, chosen=5, rew=-1, eps=0.324
INFO:root:[AutoTrain] ep=225, question='What will the stock market do next week?', correct=11, chosen=0, rew=-1, eps=0.322
INFO:root:[AutoTrain] ep=226, question='Name the painter of the Lady with an Ermine.', correct=1, chosen=1, rew=1, eps=0.321
