INFO:root:[AutoTrain] ep=0, question='Where is the capital city of Poland?', correct=0, chosen=(8, 0.0), rew=-1, eps=0.995
INFO:root:[AutoTrain] ep=1, question='What is the language used in the Czech Republic?', correct=10, chosen=(0, 0.0), rew=-1, eps=0.990
INFO:root:[AutoTrain] ep=2, question='How does a leap year work? ', correct=4, chosen=(9, 0.0), rew=-1, eps=0.985
INFO:root:[AutoTrain] ep=3, question='How many days does February have in a leap year?', correct=3, chosen=(7, 0.0), rew=-1, eps=0.980
INFO:root:[AutoTrain] ep=4, question='Which language do Czechs speak?', correct=10, chosen=(1, 0.0), rew=-1, eps=0.975
INFO:root:[AutoTrain] ep=5, question='Which language do people speak in Czech Republic?', correct=10, chosen=(8, 0.0), rew=-1, eps=0.970
INFO:root:[AutoTrain] ep=6, question='What is the capital of Czech Republic?', correct=5, chosen=(2, 0.0), rew=-1, eps=0.966
INFO:root:[AutoTrain] ep=7, question='What are the main colors of the Polish flag?', correct=4, chosen=(4, 0.0), rew=-1, eps=0.961
INFO:root:[AutoTrain] ep=8, question='Give me an example of a secure password.', correct=4, chosen=(5, 0.0), rew=-1, eps=0.956
INFO:root:[AutoTrain] ep=9, question='University in Hradec Kralove?', correct=2, chosen=(1, 0.0), rew=-1, eps=0.951
INFO:root:[AutoTrain] ep=10, question='How many days in leap year February?', correct=3, chosen=(3, 0.0), rew=-1, eps=0.946
INFO:root:[AutoTrain] ep=11, question='Who will be the next president of Poland?', correct=11, chosen=(0, 0.0), rew=-1, eps=0.942
INFO:root:[AutoTrain] ep=12, question='On which date do people celebrate New Year’s Day?', correct=7, chosen=(5, 0.0), rew=-1, eps=0.937
INFO:root:[AutoTrain] ep=13, question='What is the capital of Poland?', correct=0, chosen=(4, 0.0), rew=-1, eps=0.932
INFO:root:[AutoTrain] ep=14, question='Which language is spoken in Czech Republic?', correct=10, chosen=(6, 0.0), rew=-1, eps=0.928
INFO:root:[AutoTrain] ep=15, question='New Year's Day date?', correct=7, chosen=(6, 0.0), rew=-1, eps=0.923
INFO:root:[AutoTrain] ep=16, question='Which language is spoken in Czech Republic?', correct=10, chosen=(2, 0.0), rew=-1, eps=0.918
INFO:root:[AutoTrain] ep=17, question='What is the capital of Poland?', correct=0, chosen=(1, 0.0), rew=-1, eps=0.914
INFO:root:[AutoTrain] ep=18, question='Who will be the next president of Poland?', correct=11, chosen=(12, 0.0), rew=-1, eps=0.909
INFO:root:[AutoTrain] ep=19, question='Is there a university called UHK?', correct=2, chosen=(5, 0.0), rew=-1, eps=0.905
INFO:root:[AutoTrain] ep=20, question='Warsaw is capital of what country?', correct=8, chosen=(10, 0.0), rew=-1, eps=0.900
INFO:root:[AutoTrain] ep=21, question='Lady with Ermine location?', correct=8, chosen=(1, 0.0), rew=-1, eps=0.896
INFO:root:[AutoTrain] ep=22, question='What is the next winning lottery number?', correct=11, chosen=(9, 0.0), rew=-1, eps=0.891
INFO:root:[AutoTrain] ep=23, question='Where you can found painting: Lady with an Ermine?', correct=8, chosen=(4, 0.0), rew=-1, eps=0.887
INFO:root:[AutoTrain] ep=24, question='What is the capital of the Czech Republic?', correct=5, chosen=(7, 0.0), rew=-1, eps=0.882
INFO:root:[AutoTrain] ep=25, question='Which language do people speak in Czech Republic?', correct=10, chosen=(5, 1.0256591943619795), rew=-1, eps=0.878
INFO:root:[AutoTrain] ep=26, question='What language do people speak in Czechia?', correct=10, chosen=(9, 0.0), rew=-1, eps=0.873
INFO:root:[AutoTrain] ep=27, question='Where is located the painting called 'Lady with an Ermine'?', correct=8, chosen=(5, 10.933402106369346), rew=-1, eps=0.869
INFO:root:[AutoTrain] ep=28, question='What is the difference between a city and a country?', correct=4, chosen=(11, 0.0), rew=-1, eps=0.865
INFO:root:[AutoTrain] ep=29, question='Czech Republic official language?', correct=10, chosen=(7, 0.0), rew=-1, eps=0.860
INFO:root:[AutoTrain] ep=30, question='Where is 'Lady with an Ermine' kept?', correct=8, chosen=(1, 0.0), rew=-1, eps=0.856
INFO:root:[AutoTrain] ep=0, question='Which city keeps 'Lady with an Ermine'?', correct=8, chosen=10, rew=-1, eps=0.995
INFO:root:[AutoTrain] ep=36, question='When is January 1 celebrated?', correct=7, chosen=8, rew=-1, eps=0.831
INFO:root:[AutoTrain] ep=37, question='Czech Republic language?', correct=10, chosen=11, rew=-1, eps=0.827
INFO:root:[AutoTrain] ep=38, question='What is the next winning lottery number?', correct=11, chosen=0, rew=-1, eps=0.822
INFO:root:[AutoTrain] ep=39, question='In which country can you find the painting 'Lady with an Ermine'?', correct=8, chosen=1, rew=-1, eps=0.818
INFO:root:[AutoTrain] ep=40, question='Which language do Czechs speak?', correct=10, chosen=3, rew=-1, eps=0.814
INFO:root:[AutoTrain] ep=41, question='When is January 1 celebrated?', correct=7, chosen=8, rew=-1, eps=0.810
INFO:root:[AutoTrain] ep=42, question='Who is the author of 'Lady with an Ermine'?', correct=1, chosen=5, rew=-1, eps=0.806
INFO:root:[AutoTrain] ep=43, question='What happens when you mix blue and yellow paint? ', correct=4, chosen=7, rew=-1, eps=0.802
INFO:root:[AutoTrain] ep=44, question='How many days does February contain in a leap year?', correct=3, chosen=5, rew=-1, eps=0.798
INFO:root:[AutoTrain] ep=45, question='University in Hradec Kralove?', correct=2, chosen=12, rew=-1, eps=0.794
INFO:root:[AutoTrain] ep=46, question='Where you can found painting: Lady with an Ermine?', correct=8, chosen=1, rew=-1, eps=0.790
INFO:root:[AutoTrain] ep=47, question='What is the name of the painting , which features a lady with an ermine?', correct=9, chosen=12, rew=-1, eps=0.786
INFO:root:[AutoTrain] ep=48, question='When is January 1 celebrated?', correct=7, chosen=5, rew=-1, eps=0.782
INFO:root:[AutoTrain] ep=49, question='How does a leap year work? ', correct=4, chosen=0, rew=-1, eps=0.778
INFO:root:[AutoTrain] ep=50, question='What is my favorite color?', correct=11, chosen=12, rew=-1, eps=0.774
INFO:root:[AutoTrain] ep=51, question='What is the capital of the Czech Republic?', correct=5, chosen=12, rew=-1, eps=0.771
INFO:root:[AutoTrain] ep=52, question='Who created the painting 'Lady with an Ermine'?', correct=1, chosen=2, rew=-1, eps=0.767
INFO:root:[AutoTrain] ep=53, question='Which university that teaches computer science is the biggest in Hradec Kralove?', correct=2, chosen=7, rew=-1, eps=0.763
INFO:root:[AutoTrain] ep=54, question='Which city keeps 'Lady with an Ermine'?', correct=8, chosen=12, rew=-1, eps=0.759
INFO:root:[AutoTrain] ep=55, question='What is the capital of Czech Republic?', correct=5, chosen=12, rew=-1, eps=0.755
INFO:root:[AutoTrain] ep=56, question='University in Hradec Kralove?', correct=2, chosen=3, rew=-1, eps=0.751
INFO:root:[AutoTrain] ep=57, question='Where is 'Lady with an Ermine' kept?', correct=8, chosen=9, rew=-1, eps=0.748
INFO:root:[AutoTrain] ep=58, question='What is the capital of Poland?', correct=0, chosen=2, rew=-1, eps=0.744
INFO:root:[AutoTrain] ep=59, question='Painter of the Lady with an Ermine?', correct=1, chosen=8, rew=-1, eps=0.740
INFO:root:[AutoTrain] ep=60, question='What language do people speak in Czechia?', correct=10, chosen=7, rew=-1, eps=0.737
INFO:root:[AutoTrain] ep=61, question='Where is 'Lady with an Ermine' kept?', correct=8, chosen=0, rew=-1, eps=0.733
INFO:root:[AutoTrain] ep=62, question='How many planets will be discovered in the future?', correct=11, chosen=1, rew=-1, eps=0.729
INFO:root:[AutoTrain] ep=63, question='What is Poland's capital?', correct=0, chosen=11, rew=-1, eps=0.726
INFO:root:[AutoTrain] ep=64, question='What is the capital of Poland?', correct=0, chosen=4, rew=-1, eps=0.722
INFO:root:[AutoTrain] ep=65, question='Which language is spoken in the Czech Republic?', correct=10, chosen=11, rew=-1, eps=0.718
INFO:root:[AutoTrain] ep=66, question='What is the name of the painting , which features a lady with an ermine?', correct=9, chosen=3, rew=-1, eps=0.715
INFO:root:[AutoTrain] ep=67, question='Who is the artist behind Lady with an Ermine?', correct=1, chosen=3, rew=-1, eps=0.711
INFO:root:[AutoTrain] ep=68, question='Warsaw is the capital of which country?', correct=8, chosen=1, rew=-1, eps=0.708
INFO:root:[AutoTrain] ep=69, question='In which country can you find the painting 'Lady with an Ermine'?', correct=8, chosen=1, rew=-1, eps=0.704
INFO:root:[AutoTrain] ep=70, question='Who is the artist behind Lady with an Ermine?', correct=1, chosen=8, rew=-1, eps=0.701
INFO:root:[AutoTrain] ep=71, question='New Year's Day date?', correct=7, chosen=2, rew=-1, eps=0.697
INFO:root:[AutoTrain] ep=72, question='Who is the artist behind Lady with an Ermine?', correct=1, chosen=12, rew=-1, eps=0.694
INFO:root:[AutoTrain] ep=73, question='When is New Year's Day celebrated?', correct=7, chosen=1, rew=-1, eps=0.690
INFO:root:[AutoTrain] ep=74, question='What is the language used in the Czech Republic?', correct=10, chosen=11, rew=-1, eps=0.687
INFO:root:[AutoTrain] ep=75, question='Tell me about UHK', correct=2, chosen=8, rew=-1, eps=0.683
INFO:root:[AutoTrain] ep=76, question='Tell me about UHK', correct=2, chosen=9, rew=-1, eps=0.680
INFO:root:[AutoTrain] ep=77, question='Berlin is capital of which country?', correct=12, chosen=2, rew=-1, eps=0.676
INFO:root:[AutoTrain] ep=78, question='Czech Republic official language?', correct=10, chosen=9, rew=-1, eps=0.673
INFO:root:[AutoTrain] ep=79, question='What is the capital of Germany?', correct=6, chosen=6, rew=1, eps=0.670
INFO:root:[AutoTrain] ep=80, question='What is the capital of Czech Republic?', correct=5, chosen=4, rew=-1, eps=0.666
INFO:root:[AutoTrain] ep=81, question='Which country has Lady with an Ermine?', correct=8, chosen=9, rew=-1, eps=0.663
INFO:root:[AutoTrain] ep=82, question='Warsaw is capital of what country?', correct=8, chosen=10, rew=-1, eps=0.660
INFO:root:[AutoTrain] ep=83, question='Where can I find the painting 'Lady with an Ermine'?', correct=8, chosen=0, rew=-1, eps=0.656
INFO:root:[AutoTrain] ep=84, question='Which language is spoken in the Czech Republic?', correct=10, chosen=11, rew=-1, eps=0.653
INFO:root:[AutoTrain] ep=85, question='What is capital of Germany?', correct=6, chosen=4, rew=-1, eps=0.650
INFO:root:[AutoTrain] ep=86, question='What is the language used in the Czech Republic?', correct=10, chosen=3, rew=-1, eps=0.647
INFO:root:[AutoTrain] ep=87, question='What is UHK?', correct=2, chosen=6, rew=-1, eps=0.643
INFO:root:[AutoTrain] ep=88, question='How many planets will be discovered in the future?', correct=11, chosen=2, rew=-1, eps=0.640
INFO:root:[AutoTrain] ep=89, question='Tell me about UHK', correct=2, chosen=6, rew=-1, eps=0.637
INFO:root:[AutoTrain] ep=90, question='What are the main colors of the Polish flag?', correct=4, chosen=12, rew=-1, eps=0.634
INFO:root:[AutoTrain] ep=91, question='What is the capital of Poland?', correct=0, chosen=7, rew=-1, eps=0.631
INFO:root:[AutoTrain] ep=92, question='Which city keeps 'Lady with an Ermine'?', correct=8, chosen=1, rew=-1, eps=0.627
INFO:root:[AutoTrain] ep=93, question='What is the next number in the sequence: 2, 4 , 8, 16...?', correct=4, chosen=10, rew=-1, eps=0.624
INFO:root:[AutoTrain] ep=94, question='Who is the author of the painting 'Lady with an Ermine'?', correct=1, chosen=6, rew=-1, eps=0.621
INFO:root:[AutoTrain] ep=95, question='What language do people speak in Czechia?', correct=10, chosen=1, rew=-1, eps=0.618
INFO:root:[AutoTrain] ep=96, question='Who is the author of 'Lady with an Ermine'?', correct=1, chosen=6, rew=-1, eps=0.615
INFO:root:[AutoTrain] ep=97, question='Is there a university called UHK?', correct=2, chosen=6, rew=-1, eps=0.612
INFO:root:[AutoTrain] ep=98, question='Date of New Year's Day?', correct=7, chosen=7, rew=1, eps=0.609
INFO:root:[AutoTrain] ep=99, question='What is the capital of Poland?', correct=0, chosen=6, rew=-1, eps=0.606
INFO:root:[AutoTrain] ep=100, question='What language do people speak in Czech Republic?', correct=10, chosen=7, rew=-1, eps=0.603
INFO:root:[AutoTrain] ep=101, question='When is New Year's Day celebrated?', correct=7, chosen=1, rew=-1, eps=0.600
INFO:root:[AutoTrain] ep=102, question='Warsaw is capital of what country?', correct=8, chosen=6, rew=-1, eps=0.597
INFO:root:[AutoTrain] ep=103, question='What is the difference between a city and a country?', correct=4, chosen=2, rew=-1, eps=0.594
INFO:root:[AutoTrain] ep=104, question='Capital of Poland is? ', correct=0, chosen=8, rew=-1, eps=0.591
INFO:root:[AutoTrain] ep=105, question='Explain the concept of gravity in simple terms.', correct=4, chosen=0, rew=-1, eps=0.588
INFO:root:[AutoTrain] ep=106, question='What is UHK?', correct=2, chosen=6, rew=-1, eps=0.585
INFO:root:[AutoTrain] ep=107, question='How many days does February contain in a leap year?', correct=3, chosen=3, rew=1, eps=0.582
INFO:root:[AutoTrain] ep=108, question='What will the stock market do next week?', correct=11, chosen=6, rew=-1, eps=0.579
INFO:root:[AutoTrain] ep=109, question='How many planets will be discovered in the future?', correct=11, chosen=9, rew=-1, eps=0.576
INFO:root:[AutoTrain] ep=110, question='Which language is spoken in the Czech Republic?', correct=10, chosen=12, rew=-1, eps=0.573
INFO:root:[AutoTrain] ep=111, question='What is the capital of the Czech Republic?', correct=5, chosen=1, rew=-1, eps=0.570
INFO:root:[AutoTrain] ep=112, question='Who created the painting 'Lady with an Ermine'?', correct=1, chosen=0, rew=-1, eps=0.568
INFO:root:[AutoTrain] ep=113, question='Which language is spoken in the Czech Republic?', correct=10, chosen=6, rew=-1, eps=0.565
INFO:root:[AutoTrain] ep=114, question='Painter of the Lady with an Ermine?', correct=1, chosen=1, rew=1, eps=0.562
INFO:root:[AutoTrain] ep=115, question='Who is the author of 'Lady with an Ermine'?', correct=1, chosen=3, rew=-1, eps=0.559
INFO:root:[AutoTrain] ep=116, question='Explain the concept of gravity in simple terms.', correct=4, chosen=1, rew=-1, eps=0.556
INFO:root:[AutoTrain] ep=117, question='Which language is spoken in the Czech Republic?', correct=10, chosen=0, rew=-1, eps=0.554
INFO:root:[AutoTrain] ep=118, question='Give me an example of a secure password.', correct=4, chosen=6, rew=-1, eps=0.551
INFO:root:[AutoTrain] ep=119, question='Czech Republic official language?', correct=10, chosen=12, rew=-1, eps=0.548
INFO:root:[AutoTrain] ep=120, question='Where will I be in 10 years?', correct=11, chosen=1, rew=-1, eps=0.545
INFO:root:[AutoTrain] ep=121, question='What is the next number in the sequence: 2, 4 , 8, 16...?', correct=4, chosen=1, rew=-1, eps=0.543
INFO:root:[AutoTrain] ep=122, question='What is UHK?', correct=2, chosen=12, rew=-1, eps=0.540
INFO:root:[AutoTrain] ep=123, question='In which country can you find the painting 'Lady with an Ermine'?', correct=8, chosen=6, rew=-1, eps=0.537
INFO:root:[AutoTrain] ep=124, question='What language do people speak in Czech Republic?', correct=10, chosen=11, rew=-1, eps=0.534
INFO:root:[AutoTrain] ep=125, question='Name Poland' s capital city', correct=0, chosen=6, rew=-1, eps=0.532
INFO:root:[AutoTrain] ep=126, question='How many days does February have in a leap year?', correct=3, chosen=12, rew=-1, eps=0.529
INFO:root:[AutoTrain] ep=127, question='Date of New Year's Day?', correct=7, chosen=11, rew=-1, eps=0.526
INFO:root:[AutoTrain] ep=128, question='What is the capital of Germany?', correct=6, chosen=12, rew=-1, eps=0.524
INFO:root:[AutoTrain] ep=129, question='What is the language used in the Czech Republic?', correct=10, chosen=12, rew=-1, eps=0.521
INFO:root:[AutoTrain] ep=130, question='Which language do people speak in Czech Republic?', correct=10, chosen=12, rew=-1, eps=0.519
INFO:root:[AutoTrain] ep=131, question='Capitol of Poland?', correct=0, chosen=2, rew=-1, eps=0.516
INFO:root:[AutoTrain] ep=132, question='Czech Republic official language?', correct=10, chosen=1, rew=-1, eps=0.513
INFO:root:[AutoTrain] ep=133, question='When is New Year’s Day celebrated?', correct=7, chosen=2, rew=-1, eps=0.511
INFO:root:[AutoTrain] ep=134, question='Which language do Czechs speak?', correct=10, chosen=12, rew=-1, eps=0.508
INFO:root:[AutoTrain] ep=135, question='Warsaw is the capital of what country?', correct=8, chosen=1, rew=-1, eps=0.506
INFO:root:[AutoTrain] ep=136, question='When is New Year’s Day celebrated?', correct=7, chosen=2, rew=-1, eps=0.503
INFO:root:[AutoTrain] ep=137, question='Who will be the next president of Poland?', correct=11, chosen=1, rew=-1, eps=0.501
INFO:root:[AutoTrain] ep=138, question='Where is 'Lady with an Ermine' kept?', correct=8, chosen=6, rew=-1, eps=0.498
INFO:root:[AutoTrain] ep=139, question='In which country can you find the painting 'Lady with an Ermine'?', correct=8, chosen=3, rew=-1, eps=0.496
INFO:root:[AutoTrain] ep=140, question='Is there a university called UHK?', correct=2, chosen=7, rew=-1, eps=0.493
INFO:root:[AutoTrain] ep=141, question='Which language is spoken in the Czech Republic?', correct=10, chosen=12, rew=-1, eps=0.491
INFO:root:[AutoTrain] ep=142, question='Explain the concept of gravity in simple terms.', correct=4, chosen=2, rew=-1, eps=0.488
INFO:root:[AutoTrain] ep=143, question='Which university that teaches computer science is the biggest in Hradec Kralove?', correct=2, chosen=8, rew=-1, eps=0.486
INFO:root:[AutoTrain] ep=144, question='What happens when you mix blue and yellow paint? ', correct=4, chosen=5, rew=-1, eps=0.483
INFO:root:[AutoTrain] ep=145, question='What is my favorite color?', correct=11, chosen=2, rew=-1, eps=0.481
INFO:root:[AutoTrain] ep=146, question='Name Poland' s capital city', correct=0, chosen=6, rew=-1, eps=0.479
INFO:root:[AutoTrain] ep=147, question='UHK university location?', correct=2, chosen=7, rew=-1, eps=0.476
INFO:root:[AutoTrain] ep=148, question='Lady with Ermine location?', correct=8, chosen=0, rew=-1, eps=0.474
INFO:root:[AutoTrain] ep=149, question='Where is 'Lady with an Ermine' kept?', correct=8, chosen=1, rew=-1, eps=0.471
INFO:root:[AutoTrain] ep=150, question='What is Poland's capital?', correct=0, chosen=7, rew=-1, eps=0.469
INFO:root:[AutoTrain] ep=151, question='What is the name of university in Hradec Kralove?', correct=2, chosen=6, rew=-1, eps=0.467
INFO:root:[AutoTrain] ep=152, question='What is the next winning lottery number?', correct=11, chosen=4, rew=-1, eps=0.464
INFO:root:[AutoTrain] ep=153, question='How does a leap year work? ', correct=4, chosen=3, rew=-1, eps=0.462
INFO:root:[AutoTrain] ep=154, question='Can you tell me what I had for breakfast today?', correct=11, chosen=9, rew=-1, eps=0.460
INFO:root:[AutoTrain] ep=155, question='Where is located the painting called 'Lady with an Ermine'?', correct=8, chosen=2, rew=-1, eps=0.458
INFO:root:[AutoTrain] ep=156, question='Date of New Year's Day?', correct=7, chosen=1, rew=-1, eps=0.455
INFO:root:[AutoTrain] ep=157, question='What is the capital of the Czech Republic?', correct=5, chosen=6, rew=-1, eps=0.453
INFO:root:[AutoTrain] ep=158, question='What is the capital of Poland?', correct=0, chosen=7, rew=-1, eps=0.451
INFO:root:[AutoTrain] ep=159, question='What language do people speak in Czech Republic?', correct=10, chosen=10, rew=1, eps=0.448
INFO:root:[AutoTrain] ep=160, question='What is UHK?', correct=2, chosen=7, rew=-1, eps=0.446
INFO:root:[AutoTrain] ep=161, question='What will the stock market do next week?', correct=11, chosen=2, rew=-1, eps=0.444
INFO:root:[AutoTrain] ep=162, question='Who is the author of the painting 'Lady with an Ermine'?', correct=1, chosen=10, rew=-1, eps=0.442
INFO:root:[AutoTrain] ep=163, question='What is the name of the painting , which features a lady with an ermine?', correct=9, chosen=5, rew=-1, eps=0.440
INFO:root:[AutoTrain] ep=164, question='Czech Republic official language?', correct=10, chosen=10, rew=1, eps=0.437
INFO:root:[AutoTrain] ep=165, question='Who is the author of 'Lady with an Ermine'?', correct=1, chosen=2, rew=-1, eps=0.435
